filename,label
Image_1.jpg,SOUTHERN DOGFACE
Image_2.jpg,ADONIS
Image_3.jpg,BROWN SIPROETA
Image_4.jpg,MONARCH
Image_5.jpg,GREEN CELLED CATTLEHEART
Image_6.jpg,CAIRNS BIRDWING
Image_7.jpg,GREEN CELLED CATTLEHEART
Image_8.jpg,EASTERN DAPPLE WHITE
Image_9.jpg,BROWN SIPROETA
Image_10.jpg,RED POSTMAN
Image_11.jpg,MANGROVE SKIPPER
Image_12.jpg,BLACK HAIRSTREAK
Image_13.jpg,CABBAGE WHITE
Image_14.jpg,RED ADMIRAL
Image_15.jpg,PAINTED LADY
Image_16.jpg,MANGROVE SKIPPER
Image_17.jpg,PAPER KITE
Image_18.jpg,SOOTYWING
Image_19.jpg,PINE WHITE
Image_20.jpg,PEACOCK
Image_21.jpg,CHECQUERED SKIPPER
Image_22.jpg,JULIA
Image_23.jpg,COMMON WOOD-NYMPH
Image_24.jpg,BLUE MORPHO
Image_25.jpg,CLOUDED SULPHUR
Image_26.jpg,STRAITED QUEEN
Image_27.jpg,ORANGE OAKLEAF
Image_28.jpg,PURPLISH COPPER
Image_29.jpg,CLOUDED SULPHUR
Image_30.jpg,ATALA
Image_31.jpg,IPHICLUS SISTER
Image_32.jpg,CAIRNS BIRDWING
Image_33.jpg,CAIRNS BIRDWING
Image_34.jpg,BLACK HAIRSTREAK
Image_35.jpg,DANAID EGGFLY
Image_36.jpg,PAINTED LADY
Image_37.jpg,LARGE MARBLE
Image_38.jpg,DANAID EGGFLY
Image_39.jpg,PIPEVINE SWALLOW
Image_40.jpg,BLUE SPOTTED CROW
Image_41.jpg,LARGE MARBLE
Image_42.jpg,EASTERN DAPPLE WHITE
Image_43.jpg,LARGE MARBLE
Image_44.jpg,PAINTED LADY
Image_45.jpg,RED CRACKER
Image_46.jpg,QUESTION MARK
Image_47.jpg,CRIMSON PATCH
Image_48.jpg,BANDED PEACOCK
Image_49.jpg,CHECQUERED SKIPPER
Image_50.jpg,DANAID EGGFLY
Image_51.jpg,RED POSTMAN
Image_52.jpg,COMMON WOOD-NYMPH
Image_53.jpg,SCARCE SWALLOW
Image_54.jpg,DANAID EGGFLY
Image_55.jpg,ORANGE OAKLEAF
Image_56.jpg,COPPER TAIL
Image_57.jpg,GREAT JAY
Image_58.jpg,ORANGE OAKLEAF
Image_59.jpg,SCARCE SWALLOW
Image_60.jpg,QUESTION MARK
Image_61.jpg,INDRA SWALLOW
Image_62.jpg,BLUE SPOTTED CROW
Image_63.jpg,VICEROY
Image_64.jpg,MALACHITE
Image_65.jpg,IPHICLUS SISTER
Image_66.jpg,APPOLLO
Image_67.jpg,MANGROVE SKIPPER
Image_68.jpg,RED ADMIRAL
Image_69.jpg,TWO BARRED FLASHER
Image_70.jpg,ORANGE OAKLEAF
Image_71.jpg,MONARCH
Image_72.jpg,ATALA
Image_73.jpg,RED CRACKER
Image_74.jpg,MOURNING CLOAK
Image_75.jpg,PAINTED LADY
Image_76.jpg,PAPER KITE
Image_77.jpg,QUESTION MARK
Image_78.jpg,TWO BARRED FLASHER
Image_79.jpg,ADONIS
Image_80.jpg,SOOTYWING
Image_81.jpg,TROPICAL LEAFWING
Image_82.jpg,GREEN CELLED CATTLEHEART
Image_83.jpg,INDRA SWALLOW
Image_84.jpg,PAINTED LADY
Image_85.jpg,QUESTION MARK
Image_86.jpg,APPOLLO
Image_87.jpg,GREEN CELLED CATTLEHEART
Image_88.jpg,BLUE SPOTTED CROW
Image_89.jpg,PAPER KITE
Image_90.jpg,POPINJAY
Image_91.jpg,PIPEVINE SWALLOW
Image_92.jpg,ORANGE TIP
Image_93.jpg,COMMON WOOD-NYMPH
Image_94.jpg,CLOUDED SULPHUR
Image_95.jpg,CRIMSON PATCH
Image_96.jpg,GOLD BANDED
Image_97.jpg,SCARCE SWALLOW
Image_98.jpg,PAPER KITE
Image_99.jpg,CABBAGE WHITE
Image_100.jpg,COPPER TAIL
Image_101.jpg,BECKERS WHITE
Image_102.jpg,RED SPOTTED PURPLE
Image_103.jpg,COPPER TAIL
Image_104.jpg,ATALA
Image_105.jpg,BROWN SIPROETA
Image_106.jpg,DANAID EGGFLY
Image_107.jpg,MILBERTS TORTOISESHELL
Image_108.jpg,INDRA SWALLOW
Image_109.jpg,SILVER SPOT SKIPPER
Image_110.jpg,PURPLISH COPPER
Image_111.jpg,BROWN SIPROETA
Image_112.jpg,COMMON WOOD-NYMPH
Image_113.jpg,DANAID EGGFLY
Image_114.jpg,BLACK HAIRSTREAK
